code,display_tr,display_en,icd10_suggestion,body_region,retired_at
ANAMNEZ-SYM-0001,acil idrar hissi (urgency),urinary urgency,R39.1,genitourinary,
ANAMNEZ-SYM-0002,adet düzensizliği,Irregular menstruation,N92.6,gynecologic,
ANAMNEZ-SYM-0003,adet görmeme / amenore,Amenorrhoea,N91.2,gynecologic,
ANAMNEZ-SYM-0004,afazi / kelime bulma güçlüğü,Aphasia / word-finding difficulty,R47.0,neurological,
ANAMNEZ-SYM-0005,ajitasyon,Agitation,R45.1,psychiatric,
ANAMNEZ-SYM-0006,akut ağrı,Acute pain,R52.0,constitutional,
ANAMNEZ-SYM-0007,akut ishal,Acute diarrhea,K59.1,gastrointestinal,
ANAMNEZ-SYM-0008,akut karın,Acute abdomen,R10.0,gastrointestinal,
ANAMNEZ-SYM-0009,alerjik ürtiker,allergic urticaria,L50.0,skin,
ANAMNEZ-SYM-0010,alkol kullanım yakınması,Alcohol use complaint,,psychiatric,
ANAMNEZ-SYM-0011,alt karın ağrısı,Lower abdominal pain,R10.3,gastrointestinal,
ANAMNEZ-SYM-0012,anal kaşıntı,pruritus ani,L29.0,skin,
ANAMNEZ-SYM-0013,anal spazm,Anal spasm,K59.4,gastrointestinal,
ANAMNEZ-SYM-0014,anal/rektal ağrı,Anal / rectal pain,K62.8,gastrointestinal,
ANAMNEZ-SYM-0015,ani başlayan döküntü,acute-onset rash,R21,skin,
ANAMNEZ-SYM-0016,ani işitme kaybı,sudden hearing loss,H91.2,ent,
ANAMNEZ-SYM-0017,anjiyoödem / dudak-yüz şişmesi,angioedema,T78.3,skin,
ANAMNEZ-SYM-0018,anksiyete,Anxiety,R45.0,psychiatric,
ANAMNEZ-SYM-0019,anogenital kaşıntı,anogenital pruritus,L29.3,skin,
ANAMNEZ-SYM-0020,anormal balgam,abnormal sputum,R09.3,respiratory,
ANAMNEZ-SYM-0021,anormal bağırsak sesleri,Abnormal bowel sounds,R19.1,gastrointestinal,
ANAMNEZ-SYM-0022,anormal refleks,Abnormal reflex,R29.2,neurological,
ANAMNEZ-SYM-0023,anormal uterus kanaması,Abnormal uterine bleeding (unspecified),N93.9,gynecologic,
ANAMNEZ-SYM-0024,apati / ilgisizlik,Apathy,R45.3,psychiatric,
ANAMNEZ-SYM-0025,apne / nefes durması,apnoea,R06.8,respiratory,
ANAMNEZ-SYM-0026,ara dönem lekelenme,Intermenstrual spotting,N93.8,gynecologic,
ANAMNEZ-SYM-0027,asfiksi,asphyxia,R09.0,respiratory,
ANAMNEZ-SYM-0028,ataksi,Ataxia,R27.0,neurological,
ANAMNEZ-SYM-0029,ataksik yürüyüş,Ataxic gait,R26.0,neurological,
ANAMNEZ-SYM-0030,ateş,Fever,R50.9,constitutional,
ANAMNEZ-SYM-0031,ateş basması / sıcak basması,Hot flushes,R23.2,constitutional,
